TEAM,DATE,OPPONENT,HOME(D)/AWAY(W),RESULT,WIN(W)/LOST(P),PTS,2PM,2PA,2P%,3PM,3PA,3P%,SM,SA,S%,FTM,FTA,FT%,OREB,DREB,TREB,AST,PF,FF,TOV,STL,BLK,RBLK,EVAL,YEAR
Górnik Trans.eu Zamek Książ Wałbrzych,2023-01-29 18:00:00,Dziki Warszawa,D,57:45,W,57,17,35,48.6,5,32,15.6,22,67,32.8,8,13,61.5,13,30,43,16,21,15,16,15,4,2,69,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-02-03 18:00:00,HydroTruck Radom,W,70:77,W,77,21,36,58.3,10,34,29.4,31,70,44.3,5,13,38.5,19,25,44,20,20,17,14,9,4,1,93,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-02-08 18:00:00,BS Polonia Bytom,D,82:71,W,82,27,44,61.4,7,31,22.6,34,75,45.3,7,18,38.9,15,29,44,30,17,19,14,13,2,0,105,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-02-12 18:00:00,Enea Basket Poznań,W,66:85,W,85,24,35,68.6,9,28,32.1,33,63,52.4,10,11,90.9,11,27,38,32,16,15,12,9,5,2,126,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-02-16 17:00:00,WKK Wrocław,W,74:96,W,96,25,43,58.1,10,28,35.7,35,71,49.3,16,24,66.7,14,25,39,24,24,22,7,11,3,0,122,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-02-26 18:00:00,AZS AGH Kraków,W,88:95,W,95,29,45,64.4,8,21,38.1,37,66,56.1,13,21,61.9,8,30,38,31,20,22,16,7,5,2,123,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-03-01 16:00:00,Start II Lublin,D,104:67,W,104,28,43,65.1,14,37,37.8,42,80,52.5,6,8,75.0,19,25,44,33,15,10,16,15,3,2,143,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-03-04 20:00:00,MKKS Żak Koszalin,D,79:69,W,79,22,42,52.4,7,24,29.2,29,66,43.9,14,35,40.0,13,27,40,19,22,25,14,10,7,1,83,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-03-11 18:00:00,Weegree AZS Politechnika Opolska,W,79:80,W,80,17,31,54.8,8,29,27.6,25,60,41.7,22,31,71.0,11,25,36,18,16,24,17,9,1,3,83,2022/2023
Górnik Trans.eu Zamek Książ Wałbrzych,2023-03-18 18:00:00,KKS Polonia Warszawa,D,84:79,W,84,26,42,61.9,5,16,31.3,31,58,53.4,17,30,56.7,10,24,34,22,13,20,14,11,6,1,103,2022/2023
