TEAM,DATE,OPPONENT,HOME(D)/AWAY(W),RESULT,WIN(W)/LOST(P),PTS,2PM,2PA,2P%,3PM,3PA,3P%,SM,SA,S%,FTM,FTA,FT%,OREB,DREB,TREB,AST,PF,FF,TOV,STL,BLK,RBLK,EVAL,YEAR
MOSiR PBS Bank KHS Krosno,2014-02-08 18:30:00,Intermarche Bricomarche BM SlamStal Ostrów,W,86:74,P,74,18,35,51.4,10,38,26.3,28,73,38.4,8,10,80.0,13,24,37,9,23,13,15,5,3,3,66,2013/2014
MOSiR PBS Bank KHS Krosno,2014-02-16 18:00:00,MKS Znicz Basket Pruszków,D,77:47,W,77,15,31,48.4,12,31,38.7,27,62,43.5,11,16,68.8,11,27,38,24,22,17,13,6,1,1,93,2013/2014
MOSiR PBS Bank KHS Krosno,2014-02-22 18:00:00,AZS Politechnika Poznań,D,90:70,W,90,27,35,77.1,8,25,32.0,35,60,58.3,12,16,75.0,7,21,28,23,15,20,11,10,3,1,114,2013/2014
MOSiR PBS Bank KHS Krosno,2014-03-02 18:00:00,PTG Sokół Łańcut,D,67:56,W,67,20,36,55.6,5,24,20.8,25,60,41.7,12,15,80.0,10,23,33,19,21,17,12,7,3,1,79,2013/2014
MOSiR PBS Bank KHS Krosno,2014-03-08 18:00:00,MKS Wikana Start S.A. Lublin,D,101:85,W,101,22,35,62.9,14,31,45.2,36,66,54.5,15,18,83.3,6,28,34,29,22,17,11,8,3,2,131,2013/2014
MOSiR PBS Bank KHS Krosno,2014-03-15 18:00:00,Astoria Bydgoszcz,W,63:82,W,82,28,43,65.1,6,16,37.5,34,59,57.6,8,14,57.1,7,21,28,20,11,17,8,10,3,0,104,2013/2014
MOSiR PBS Bank KHS Krosno,2014-03-23 18:00:00,Polfarmex Kutno,D,74:60,W,74,20,33,60.6,7,22,31.8,27,55,49.1,13,14,92.9,6,26,32,17,17,20,11,3,2,0,88,2013/2014
MOSiR PBS Bank KHS Krosno,2014-03-30 18:00:00,Polski Cukier SIDEn Toruń,W,70:58,P,58,15,39,38.5,8,25,32.0,23,64,35.9,4,9,44.4,7,20,27,14,16,14,12,9,4,6,54,2013/2014
MOSiR PBS Bank KHS Krosno,2014-04-05 18:00:00,King Wilki Morskie Szczecin,D,84:76,W,84,22,41,53.7,6,23,26.1,28,64,43.8,22,28,78.6,7,27,34,18,24,25,12,9,3,4,94,2013/2014
MOSiR PBS Bank KHS Krosno,2014-04-06 18:00:00,King Wilki Morskie Szczecin,D,89:65,W,89,23,40,57.5,11,28,39.3,34,68,50.0,10,10,100.0,11,16,27,22,24,18,10,9,2,4,105,2013/2014
MOSiR PBS Bank KHS Krosno,2014-04-12 17:00:00,King Wilki Morskie Szczecin,W,97:74,P,74,17,41,41.5,6,21,28.6,23,62,37.1,22,32,68.8,11,15,26,11,21,27,12,9,0,1,59,2013/2014
MOSiR PBS Bank KHS Krosno,2014-04-13 17:00:00,King Wilki Morskie Szczecin,W,74:94,W,94,24,35,68.6,7,22,31.8,31,57,54.4,25,25,100.0,4,25,29,22,24,23,15,10,2,1,116,2013/2014
MOSiR PBS Bank KHS Krosno,2014-04-26 18:00:00,Polfarmex Kutno,D,79:65,W,79,24,41,58.5,4,15,26.7,28,56,50.0,19,22,86.4,7,22,29,17,21,23,11,13,2,1,98,2013/2014
MOSiR PBS Bank KHS Krosno,2014-04-27 18:00:00,Polfarmex Kutno,D,65:77,P,65,14,27,51.9,8,28,28.6,22,55,40.0,13,17,76.5,4,27,31,12,18,17,16,4,2,3,61,2013/2014
MOSiR PBS Bank KHS Krosno,2014-05-03 16:00:00,Polfarmex Kutno,W,73:57,P,57,8,30,26.7,7,25,28.0,15,55,27.3,20,24,83.3,10,20,30,13,16,20,13,5,2,3,50,2013/2014
MOSiR PBS Bank KHS Krosno,2014-05-04 17:30:00,Polfarmex Kutno,W,77:72,P,72,21,44,47.7,3,23,13.0,24,67,35.8,21,22,95.5,8,32,40,15,24,22,14,10,1,3,80,2013/2014
MOSiR PBS Bank KHS Krosno,2014-05-11 18:45:00,MKS Wikana Start S.A. Lublin,W,65:79,W,79,25,46,54.3,7,20,35.0,32,66,48.5,8,12,66.7,8,30,38,20,19,13,12,8,7,3,102,2013/2014
MOSiR PBS Bank KHS Krosno,2014-05-17 17:00:00,MKS Wikana Start S.A. Lublin,D,100:70,W,100,25,40,62.5,14,40,35.0,39,80,48.8,8,10,80.0,9,33,42,27,27,15,8,7,3,3,128,2013/2014
Polfarmex Kutno,2013-09-28 17:30:00,MKS Wikana Start S.A. Lublin,D,75:68,W,75,17,35,48.6,8,27,29.6,25,62,40.3,17,22,77.3,11,27,38,19,25,20,10,8,1,2,89,2013/2014
Polfarmex Kutno,2013-10-05 17:30:00,Polski Cukier SIDEn Toruń,D,58:64,P,58,11,37,29.7,8,29,27.6,19,66,28.8,12,17,70.6,9,15,24,8,24,20,9,10,0,3,39,2013/2014
Polfarmex Kutno,2013-10-12 17:00:00,KS Spójnia Stargard Szczeciński,W,57:78,W,78,22,36,61.1,6,18,33.3,28,54,51.9,16,19,84.2,9,23,32,20,28,23,20,10,1,1,92,2013/2014
Polfarmex Kutno,2013-10-19 17:30:00,King Wilki Morskie Szczecin,D,90:60,W,90,26,41,63.4,6,19,31.6,32,60,53.3,20,28,71.4,12,25,37,20,24,23,16,13,2,1,110,2013/2014
Polfarmex Kutno,2013-10-27 20:00:00,MCKiS Termo-Rex SA Jaworzno,W,65:70,W,70,20,30,66.7,8,30,26.7,28,60,46.7,6,12,50.0,11,20,31,20,24,19,21,14,3,1,79,2013/2014
Polfarmex Kutno,2013-11-02 17:30:00,WKK ProBiotics Wrocław,D,75:61,W,75,17,38,44.7,6,18,33.3,23,56,41.1,23,31,74.2,15,26,41,14,19,29,18,14,3,1,88,2013/2014
Polfarmex Kutno,2013-11-09 18:00:00,MKS Dąbrowa Górnicza II,W,90:83,P,83,26,52,50.0,5,19,26.3,31,71,43.7,16,26,61.5,11,18,29,13,30,24,13,14,1,2,77,2013/2014
Polfarmex Kutno,2013-11-16 17:30:00,Intermarche Bricomarche BM SlamStal Ostrów,D,69:42,W,69,20,38,52.6,7,27,25.9,27,65,41.5,8,9,88.9,11,25,36,13,20,15,7,12,0,3,84,2013/2014
Polfarmex Kutno,2013-11-24 17:00:00,MKS Znicz Basket Pruszków,W,88:80,P,80,19,38,50.0,13,37,35.1,32,75,42.7,3,6,50.0,9,20,29,15,33,14,18,11,2,3,73,2013/2014
Polfarmex Kutno,2013-11-30 17:30:00,AZS Politechnika Poznań,D,86:56,W,86,30,45,66.7,6,20,30.0,36,65,55.4,8,11,72.7,12,23,35,27,19,15,16,19,3,1,122,2013/2014
Polfarmex Kutno,2013-12-07 17:30:00,PTG Sokół Łańcut,W,73:77,W,77,15,27,55.6,12,19,63.2,27,46,58.7,11,16,68.8,7,20,27,19,23,17,17,8,2,1,92,2013/2014
Polfarmex Kutno,2013-12-14 17:30:00,MOSiR PBS Bank KHS Krosno,D,75:66,W,75,13,25,52.0,12,27,44.4,25,52,48.1,13,22,59.1,7,20,27,17,15,21,14,8,1,2,78,2013/2014
Polfarmex Kutno,2013-12-21 17:00:00,Astoria Bydgoszcz,W,63:93,W,93,29,38,76.3,7,21,33.3,36,59,61.0,14,17,82.4,6,20,26,19,30,16,13,16,5,1,120,2013/2014
Polfarmex Kutno,2014-01-05 18:00:00,MKS Wikana Start S.A. Lublin,W,79:56,P,56,11,36,30.6,7,31,22.6,18,67,26.9,13,18,72.2,14,25,39,11,30,20,15,12,1,2,50,2013/2014
Polfarmex Kutno,2014-01-11 17:00:00,Polski Cukier SIDEn Toruń,W,70:59,P,59,18,41,43.9,4,24,16.7,22,65,33.8,11,18,61.1,12,21,33,11,21,15,15,9,1,5,48,2013/2014
Polfarmex Kutno,2014-01-18 17:30:00,KS Spójnia Stargard Szczeciński,D,90:60,W,90,22,35,62.9,9,13,69.2,31,48,64.6,19,25,76.0,8,23,31,22,18,20,16,15,4,3,123,2013/2014
Polfarmex Kutno,2014-01-26 17:00:00,King Wilki Morskie Szczecin,W,93:95,W,95,20,42,47.6,11,26,42.3,31,68,45.6,22,31,71.0,15,19,34,16,26,23,20,9,2,4,90,2013/2014
Polfarmex Kutno,2014-02-01 17:30:00,MCKiS Termo-Rex SA Jaworzno,D,113:79,W,113,27,36,75.0,15,29,51.7,42,65,64.6,14,19,73.7,6,20,26,29,14,19,8,13,5,2,150,2013/2014
Polfarmex Kutno,2014-02-08 17:00:00,WKK ProBiotics Wrocław,W,71:86,W,86,18,44,40.9,13,26,50.0,31,70,44.3,11,17,64.7,12,25,37,17,24,23,8,8,6,3,101,2013/2014
Polfarmex Kutno,2014-02-15 17:30:00,MKS Dąbrowa Górnicza II,D,84:74,W,84,20,36,55.6,12,29,41.4,32,65,49.2,8,10,80.0,9,23,32,23,22,16,13,15,2,1,108,2013/2014
Polfarmex Kutno,2014-02-23 18:30:00,Intermarche Bricomarche BM SlamStal Ostrów,W,86:79,P,79,25,47,53.2,7,29,24.1,32,76,42.1,8,13,61.5,11,18,29,17,30,18,10,12,0,0,78,2013/2014
Polfarmex Kutno,2014-02-28 18:30:00,MKS Znicz Basket Pruszków,D,76:70,W,76,17,42,40.5,8,27,29.6,25,69,36.2,18,26,69.2,14,20,34,16,20,21,8,15,2,3,83,2013/2014
Polfarmex Kutno,2014-03-08 18:00:00,AZS Politechnika Poznań,W,67:90,W,90,30,56,53.6,8,23,34.8,38,79,48.1,6,20,30.0,13,25,38,19,25,15,15,16,2,4,95,2013/2014
Polfarmex Kutno,2014-03-15 17:30:00,PTG Sokół Łańcut,D,78:50,W,78,20,40,50.0,10,22,45.5,30,62,48.4,8,12,66.7,7,28,35,21,20,13,15,21,5,2,109,2013/2014
Polfarmex Kutno,2014-03-23 18:00:00,MOSiR PBS Bank KHS Krosno,W,74:60,P,60,18,36,50.0,5,28,17.9,23,64,35.9,9,14,64.3,12,19,31,12,20,17,9,6,0,2,54,2013/2014
Polfarmex Kutno,2014-03-30 18:00:00,Astoria Bydgoszcz,D,76:62,W,76,22,29,75.9,6,21,28.6,28,50,56.0,14,23,60.9,6,21,27,19,24,22,12,14,3,0,96,2013/2014
Polfarmex Kutno,2014-04-05 17:30:00,PTG Sokół Łańcut,D,67:78,P,67,21,50,42.0,4,22,18.2,25,72,34.7,13,18,72.2,11,22,33,9,28,19,5,11,2,3,65,2013/2014
Polfarmex Kutno,2014-04-06 17:30:00,PTG Sokół Łańcut,D,84:53,W,84,20,38,52.6,12,28,42.9,32,66,48.5,8,10,80.0,16,24,40,25,24,15,9,15,4,1,123,2013/2014
Polfarmex Kutno,2014-04-12 17:30:00,PTG Sokół Łańcut,W,68:94,W,94,18,32,56.3,12,25,48.0,30,57,52.6,22,31,71.0,7,17,24,16,22,27,5,8,2,0,103,2013/2014
Polfarmex Kutno,2014-04-13 17:30:00,PTG Sokół Łańcut,W,60:64,W,64,11,34,32.4,10,29,34.5,21,63,33.3,12,20,60.0,10,22,32,13,22,21,10,7,2,0,58,2013/2014
Polfarmex Kutno,2014-04-26 18:00:00,MOSiR PBS Bank KHS Krosno,W,79:65,P,65,17,37,45.9,7,26,26.9,24,63,38.1,10,10,100.0,10,15,25,10,23,20,20,5,1,2,47,2013/2014
Polfarmex Kutno,2014-04-27 18:00:00,MOSiR PBS Bank KHS Krosno,W,65:77,W,77,17,42,40.5,12,28,42.9,29,70,41.4,7,12,58.3,12,30,42,14,17,18,10,9,3,2,89,2013/2014
Polfarmex Kutno,2014-05-03 16:00:00,MOSiR PBS Bank KHS Krosno,D,73:57,W,73,23,46,50.0,8,17,47.1,31,63,49.2,3,6,50.0,10,27,37,16,20,16,12,9,3,2,91,2013/2014
Polfarmex Kutno,2014-05-04 17:30:00,MOSiR PBS Bank KHS Krosno,D,77:72,W,77,22,40,55.0,7,27,25.9,29,67,43.3,12,23,52.2,9,30,39,20,22,24,7,10,3,1,93,2013/2014
Polfarmex Kutno,2014-05-10 17:30:00,WKK ProBiotics Wrocław,D,89:56,W,89,28,42,66.7,9,23,39.1,37,65,56.9,6,11,54.5,10,22,32,21,23,18,9,19,3,2,122,2013/2014
Polfarmex Kutno,2014-05-11 17:30:00,WKK ProBiotics Wrocław,D,81:79,W,81,19,29,65.5,10,25,40.0,29,54,53.7,13,16,81.3,7,21,28,19,20,20,10,6,4,2,100,2013/2014
Polfarmex Kutno,2014-05-17 20:00:00,WKK ProBiotics Wrocław,W,69:70,W,70,17,44,38.6,5,21,23.8,22,65,33.8,21,28,75.0,9,22,31,12,20,24,12,14,0,3,65,2013/2014
Polski Cukier SIDEn Toruń,2013-09-28 18:00:00,Astoria Bydgoszcz,D,84:66,W,84,24,52,46.2,9,21,42.9,33,73,45.2,9,10,90.0,8,25,33,21,31,20,18,14,6,5,99,2013/2014
Polski Cukier SIDEn Toruń,2013-10-05 17:30:00,Polfarmex Kutno,W,58:64,W,64,24,35,68.6,1,14,7.1,25,49,51.0,13,26,50.0,9,34,43,10,20,24,15,5,3,0,73,2013/2014
Polski Cukier SIDEn Toruń,2013-10-12 18:00:00,MKS Wikana Start S.A. Lublin,D,57:51,W,57,22,46,47.8,2,15,13.3,24,61,39.3,7,14,50.0,10,31,41,14,18,21,17,6,7,2,64,2013/2014
Polski Cukier SIDEn Toruń,2013-10-19 19:00:00,KS Spójnia Stargard Szczeciński,D,79:62,W,79,22,35,62.9,6,22,27.3,28,57,49.1,17,27,63.0,14,29,43,21,20,22,16,5,6,3,99,2013/2014
Polski Cukier SIDEn Toruń,2013-10-28 20:00:00,King Wilki Morskie Szczecin,W,76:79,W,79,17,53,32.1,9,21,42.9,26,74,35.1,18,26,69.2,18,23,41,21,19,24,11,6,4,5,84,2013/2014
Polski Cukier SIDEn Toruń,2013-11-02 18:00:00,MCKiS Termo-Rex SA Jaworzno,D,99:54,W,99,20,35,57.1,13,26,50.0,33,61,54.1,20,28,71.4,10,24,34,25,19,23,13,14,5,2,128,2013/2014
Polski Cukier SIDEn Toruń,2013-11-09 17:00:00,WKK ProBiotics Wrocław,W,82:63,P,63,21,39,53.8,2,12,16.7,23,51,45.1,15,28,53.6,7,23,30,13,24,27,19,4,3,3,53,2013/2014
Polski Cukier SIDEn Toruń,2013-11-16 18:00:00,MKS Dąbrowa Górnicza II,D,70:66,W,70,19,49,38.8,5,16,31.3,24,65,36.9,17,28,60.7,16,24,40,17,20,24,12,7,2,5,72,2013/2014
Polski Cukier SIDEn Toruń,2013-11-23 18:30:00,Intermarche Bricomarche BM SlamStal Ostrów,W,68:74,W,74,21,32,65.6,4,12,33.3,25,44,56.8,20,33,60.6,6,25,31,14,17,26,16,8,2,0,81,2013/2014
Polski Cukier SIDEn Toruń,2013-12-01 17:00:00,MKS Znicz Basket Pruszków,D,90:51,W,90,21,44,47.7,10,19,52.6,31,63,49.2,18,22,81.8,6,31,37,26,14,23,12,10,1,3,116,2013/2014
Polski Cukier SIDEn Toruń,2013-12-07 19:00:00,AZS Politechnika Poznań,W,65:102,W,102,30,37,81.1,11,19,57.9,41,56,73.2,9,17,52.9,3,24,27,31,16,19,14,13,2,0,138,2013/2014
Polski Cukier SIDEn Toruń,2013-12-14 17:00:00,PTG Sokół Łańcut,D,71:68,W,71,24,45,53.3,4,15,26.7,28,60,46.7,11,16,68.8,7,25,32,17,18,21,14,6,2,5,77,2013/2014
Polski Cukier SIDEn Toruń,2013-12-21 18:00:00,MOSiR PBS Bank KHS Krosno,W,61:65,W,65,16,35,45.7,8,19,42.1,24,54,44.4,9,11,81.8,9,26,35,11,17,19,17,4,1,1,67,2013/2014
Polski Cukier SIDEn Toruń,2014-01-04 18:00:00,Astoria Bydgoszcz,W,65:71,W,71,20,35,57.1,4,13,30.8,24,48,50.0,19,31,61.3,7,28,35,16,20,28,13,6,6,1,85,2013/2014
Polski Cukier SIDEn Toruń,2014-01-11 17:00:00,Polfarmex Kutno,D,70:59,W,70,18,41,43.9,7,18,38.9,25,59,42.4,13,23,56.5,12,29,41,18,15,21,16,7,5,1,81,2013/2014
Polski Cukier SIDEn Toruń,2014-01-18 18:00:00,MKS Wikana Start S.A. Lublin,W,87:94,W,94,21,38,55.3,13,26,50.0,34,64,53.1,13,19,68.4,7,29,36,26,25,21,22,10,2,1,110,2013/2014
Polski Cukier SIDEn Toruń,2014-01-25 17:00:00,KS Spójnia Stargard Szczeciński,W,44:64,W,64,23,44,52.3,3,13,23.1,26,57,45.6,9,12,75.0,9,32,41,22,20,17,16,6,2,0,85,2013/2014
Polski Cukier SIDEn Toruń,2014-02-01 17:00:00,King Wilki Morskie Szczecin,D,83:72,W,83,28,36,77.8,7,26,26.9,35,62,56.5,6,9,66.7,9,22,31,26,19,18,12,3,1,0,102,2013/2014
Polski Cukier SIDEn Toruń,2014-02-08 20:00:00,MCKiS Termo-Rex SA Jaworzno,W,68:77,W,77,19,38,50.0,7,17,41.2,26,55,47.3,18,22,81.8,9,16,25,16,16,26,18,8,2,1,77,2013/2014
Polski Cukier SIDEn Toruń,2014-02-15 17:00:00,WKK ProBiotics Wrocław,D,62:65,P,62,16,41,39.0,6,18,33.3,22,59,37.3,12,19,63.2,10,22,32,18,20,19,14,6,2,1,62,2013/2014
Polski Cukier SIDEn Toruń,2014-02-22 18:00:00,MKS Dąbrowa Górnicza II,W,84:69,P,69,23,45,51.1,3,20,15.0,26,65,40.0,14,22,63.6,14,14,28,12,20,19,14,7,2,3,57,2013/2014
Polski Cukier SIDEn Toruń,2014-03-01 17:00:00,Intermarche Bricomarche BM SlamStal Ostrów,D,69:68,W,69,19,42,45.2,8,23,34.8,27,65,41.5,7,10,70.0,10,19,29,17,18,18,15,7,4,1,70,2013/2014
Polski Cukier SIDEn Toruń,2014-03-08 18:00:00,MKS Znicz Basket Pruszków,W,63:72,W,72,20,40,50.0,8,22,36.4,28,62,45.2,8,13,61.5,10,20,30,21,14,16,10,12,1,2,87,2013/2014
Polski Cukier SIDEn Toruń,2014-03-15 18:00:00,AZS Politechnika Poznań,D,78:57,W,78,26,46,56.5,3,20,15.0,29,66,43.9,17,24,70.8,16,26,42,26,11,23,15,6,5,2,98,2013/2014
Polski Cukier SIDEn Toruń,2014-03-22 17:30:00,PTG Sokół Łańcut,W,73:69,P,69,14,34,41.2,10,23,43.5,24,57,42.1,11,20,55.0,8,21,29,15,21,21,19,8,3,0,63,2013/2014
Polski Cukier SIDEn Toruń,2014-03-30 18:00:00,MOSiR PBS Bank KHS Krosno,D,70:58,W,70,17,36,47.2,9,22,40.9,26,58,44.8,9,12,75.0,11,29,40,19,15,16,17,5,6,4,88,2013/2014
Polski Cukier SIDEn Toruń,2014-04-05 17:45:00,MKS Wikana Start S.A. Lublin,D,78:80,P,78,18,38,47.4,9,29,31.0,27,67,40.3,15,25,60.0,7,30,37,15,23,23,15,8,1,5,74,2013/2014
Polski Cukier SIDEn Toruń,2014-04-06 20:00:00,MKS Wikana Start S.A. Lublin,D,67:79,P,67,8,30,26.7,12,29,41.4,20,59,33.9,15,22,68.2,12,23,35,18,20,24,11,4,3,2,70,2013/2014
Polski Cukier SIDEn Toruń,2014-04-12 18:00:00,MKS Wikana Start S.A. Lublin,W,67:63,P,63,11,32,34.4,12,27,44.4,23,59,39.0,5,10,50.0,6,26,32,15,25,18,18,4,2,2,57,2013/2014
PTG Sokół Łańcut,2013-09-28 20:00:00,King Wilki Morskie Szczecin,W,84:77,P,77,18,34,52.9,5,22,22.7,23,56,41.1,26,29,89.7,5,24,29,11,27,24,23,10,4,2,72,2013/2014
PTG Sokół Łańcut,2013-10-05 17:30:00,MCKiS Termo-Rex SA Jaworzno,D,90:67,W,90,16,26,61.5,14,32,43.8,30,58,51.7,16,21,76.2,10,24,34,18,18,25,13,8,4,0,108,2013/2014
PTG Sokół Łańcut,2013-10-12 17:00:00,WKK ProBiotics Wrocław,W,71:64,P,64,18,37,48.6,3,18,16.7,21,55,38.2,19,24,79.2,6,26,32,14,20,26,15,6,8,2,70,2013/2014
PTG Sokół Łańcut,2013-10-19 17:30:00,MKS Dąbrowa Górnicza II,D,72:73,P,72,18,38,47.4,8,26,30.8,26,64,40.6,12,15,80.0,11,25,36,11,21,20,11,5,5,4,77,2013/2014
PTG Sokół Łańcut,2013-10-26 18:30:00,Intermarche Bricomarche BM SlamStal Ostrów,W,86:71,P,71,15,33,45.5,8,22,36.4,23,55,41.8,17,22,77.3,7,18,25,16,20,20,13,7,3,1,72,2013/2014
PTG Sokół Łańcut,2013-11-02 17:30:00,MKS Znicz Basket Pruszków,D,76:72,W,76,18,36,50.0,9,25,36.0,27,61,44.3,13,18,72.2,6,18,24,17,19,20,9,4,2,0,75,2013/2014
PTG Sokół Łańcut,2013-11-09 17:30:00,AZS Politechnika Poznań,D,77:54,W,77,23,42,54.8,6,22,27.3,29,64,45.3,13,20,65.0,13,25,38,21,14,19,15,12,3,3,94,2013/2014
PTG Sokół Łańcut,2013-11-16 18:00:00,MKS Wikana Start S.A. Lublin,W,52:69,W,69,17,39,43.6,8,26,30.8,25,65,38.5,11,15,73.3,15,26,41,14,18,18,12,11,1,0,80,2013/2014
PTG Sokół Łańcut,2013-11-23 17:30:00,MOSiR PBS Bank KHS Krosno,D,49:54,P,49,16,35,45.7,2,18,11.1,18,53,34.0,11,15,73.3,13,19,32,7,14,19,14,11,3,3,49,2013/2014
PTG Sokół Łańcut,2013-12-01 17:00:00,Astoria Bydgoszcz,W,84:90,W,90,24,44,54.5,9,22,40.9,33,66,50.0,15,17,88.2,10,24,34,22,17,18,16,10,3,2,108,2013/2014
PTG Sokół Łańcut,2013-12-07 17:30:00,Polfarmex Kutno,D,73:77,P,73,19,35,54.3,8,20,40.0,27,55,49.1,11,15,73.3,11,15,26,11,18,23,14,12,1,2,77,2013/2014
PTG Sokół Łańcut,2013-12-14 17:00:00,Polski Cukier SIDEn Toruń,W,71:68,P,68,17,33,51.5,7,25,28.0,24,58,41.4,13,15,86.7,7,22,29,17,21,18,13,1,5,2,71,2013/2014
PTG Sokół Łańcut,2013-12-21 17:30:00,KS Spójnia Stargard Szczeciński,D,80:58,W,80,18,36,50.0,9,24,37.5,27,60,45.0,17,21,81.0,14,27,41,17,21,19,9,10,2,4,104,2013/2014
PTG Sokół Łańcut,2014-01-04 17:30:00,King Wilki Morskie Szczecin,D,100:72,W,100,25,41,61.0,13,29,44.8,38,70,54.3,11,16,68.8,12,25,37,26,21,19,15,10,6,2,127,2013/2014
PTG Sokół Łańcut,2014-01-10 20:00:00,MCKiS Termo-Rex SA Jaworzno,W,66:67,W,67,21,41,51.2,5,19,26.3,26,60,43.3,10,13,76.9,11,22,33,12,16,15,14,6,1,1,68,2013/2014
PTG Sokół Łańcut,2014-01-18 17:30:00,WKK ProBiotics Wrocław,D,82:74,W,82,21,42,50.0,7,23,30.4,28,65,43.1,19,25,76.0,8,28,36,12,20,25,16,9,8,2,88,2013/2014
PTG Sokół Łańcut,2014-01-26 18:00:00,MKS Dąbrowa Górnicza II,W,81:86,W,86,18,41,43.9,12,26,46.2,30,67,44.8,14,19,73.7,11,23,34,13,23,18,12,12,4,6,95,2013/2014
PTG Sokół Łańcut,2014-02-01 17:30:00,Intermarche Bricomarche BM SlamStal Ostrów,D,79:63,W,79,22,33,66.7,9,27,33.3,31,60,51.7,8,9,88.9,7,30,37,22,25,14,16,6,1,0,99,2013/2014
PTG Sokół Łańcut,2014-02-09 17:00:00,MKS Znicz Basket Pruszków,W,64:89,W,89,24,38,63.2,10,28,35.7,34,66,51.5,11,15,73.3,12,22,34,15,21,17,15,11,6,2,104,2013/2014
PTG Sokół Łańcut,2014-02-16 18:00:00,AZS Politechnika Poznań,W,43:86,W,86,22,41,53.7,10,24,41.7,32,65,49.2,12,14,85.7,5,26,31,26,19,15,8,8,4,1,112,2013/2014
PTG Sokół Łańcut,2014-02-24 18:00:00,MKS Wikana Start S.A. Lublin,D,71:77,P,71,17,31,54.8,6,32,18.8,23,63,36.5,19,23,82.6,11,25,36,14,25,23,6,7,6,0,84,2013/2014
PTG Sokół Łańcut,2014-03-02 18:00:00,MOSiR PBS Bank KHS Krosno,W,67:56,P,56,12,33,36.4,7,21,33.3,19,54,35.2,11,12,91.7,4,22,26,13,18,21,17,6,1,3,49,2013/2014
PTG Sokół Łańcut,2014-03-08 17:30:00,Astoria Bydgoszcz,D,78:63,W,78,17,33,51.5,10,21,47.6,27,54,50.0,14,18,77.8,7,20,27,19,18,20,12,6,4,1,91,2013/2014
PTG Sokół Łańcut,2014-03-15 17:30:00,Polfarmex Kutno,W,78:50,P,50,18,42,42.9,2,17,11.8,20,59,33.9,8,11,72.7,10,25,35,10,13,20,14,4,2,5,45,2013/2014
PTG Sokół Łańcut,2014-03-22 17:30:00,Polski Cukier SIDEn Toruń,D,73:69,W,73,19,38,50.0,8,20,40.0,27,58,46.6,11,14,78.6,2,22,24,15,22,20,14,10,5,0,79,2013/2014
PTG Sokół Łańcut,2014-03-29 16:30:00,KS Spójnia Stargard Szczeciński,W,59:63,W,63,24,37,64.9,4,24,16.7,28,61,45.9,3,6,50.0,7,30,37,18,15,14,17,7,3,2,75,2013/2014
PTG Sokół Łańcut,2014-04-05 17:30:00,Polfarmex Kutno,W,67:78,W,78,23,42,54.8,2,13,15.4,25,55,45.5,26,32,81.3,8,34,42,13,19,28,16,3,3,2,87,2013/2014
PTG Sokół Łańcut,2014-04-06 17:30:00,Polfarmex Kutno,W,84:53,P,53,12,35,34.3,5,14,35.7,17,49,34.7,14,23,60.9,7,18,25,12,15,24,16,7,1,4,41,2013/2014
PTG Sokół Łańcut,2014-04-12 17:30:00,Polfarmex Kutno,D,68:94,P,68,17,33,51.5,6,19,31.6,23,52,44.2,16,20,80.0,7,19,26,15,27,22,12,2,2,0,68,2013/2014
PTG Sokół Łańcut,2014-04-13 17:30:00,Polfarmex Kutno,D,60:64,P,60,18,34,52.9,4,23,17.4,22,57,38.6,12,16,75.0,7,31,38,8,21,22,12,5,3,0,63,2013/2014
WKK ProBiotics Wrocław,2013-09-28 18:00:00,MKS Znicz Basket Pruszków,D,79:68,W,79,21,47,44.7,8,16,50.0,29,63,46.0,13,19,68.4,12,17,29,15,23,24,17,11,5,2,82,2013/2014
WKK ProBiotics Wrocław,2013-10-05 18:00:00,AZS Politechnika Poznań,W,74:72,P,72,12,35,34.3,11,29,37.9,23,64,35.9,15,22,68.2,10,20,30,12,18,22,18,13,1,4,62,2013/2014
WKK ProBiotics Wrocław,2013-10-12 17:00:00,PTG Sokół Łańcut,D,71:64,W,71,20,49,40.8,5,17,29.4,25,66,37.9,16,21,76.2,12,26,38,12,26,20,11,7,2,8,73,2013/2014
WKK ProBiotics Wrocław,2013-10-20 18:00:00,MOSiR PBS Bank KHS Krosno,W,72:59,P,59,13,42,31.0,8,23,34.8,21,65,32.3,9,14,64.3,12,27,39,13,18,19,18,6,4,3,54,2013/2014
WKK ProBiotics Wrocław,2013-10-26 17:00:00,Astoria Bydgoszcz,D,91:79,W,91,25,57,43.9,5,20,25.0,30,77,39.0,26,31,83.9,20,19,39,12,30,27,19,18,5,3,94,2013/2014
WKK ProBiotics Wrocław,2013-11-02 17:30:00,Polfarmex Kutno,W,75:61,P,61,18,50,36.0,5,21,23.8,23,71,32.4,10,16,62.5,10,18,28,12,30,19,18,9,1,3,39,2013/2014
WKK ProBiotics Wrocław,2013-11-09 17:00:00,Polski Cukier SIDEn Toruń,D,82:63,W,82,23,51,45.1,8,16,50.0,31,67,46.3,12,19,63.2,11,17,28,9,27,24,10,13,3,3,82,2013/2014
WKK ProBiotics Wrocław,2013-11-17 17:00:00,KS Spójnia Stargard Szczeciński,W,53:83,W,83,19,42,45.2,10,19,52.6,29,61,47.5,15,18,83.3,10,24,34,18,24,22,17,13,1,3,97,2013/2014
