TEAM,GAMES,POINTS,2PM,2PA,2P%,3PM,3PA,3P%,SM,SA,S%,FTM,FTA,FTP,OREB,DREB,TREB,AST,PF,FF,TOV,STL,BLK,RBLK,EVAL,PLUS_MINUS,YEAR
GKS Tychy,40.0,78.0,22.9,40.8,56.0,6.3,19.9,31.7,29.2,60.7,48.0,13.4,18.8,71.5,9.53,22.4,31.93,14.8,19.6,18.68,13.5,9.55,3.25,1.33,87.1,,2008/2009
Asseco Prokom 2 Gdynia,33.0,72.4,17.5,35.3,49.5,8.0,26.0,30.8,25.5,61.3,41.6,13.4,20.5,65.4,10.58,22.27,32.85,10.6,19.85,19.3,18.4,9.45,2.76,2.03,66.8,,2008/2009
PTG Sokół Łańcut,30.0,65.9,17.9,35.8,50.0,5.6,20.0,28.2,23.5,55.8,42.1,13.2,18.4,71.4,8.67,23.73,32.4,12.4,18.23,20.23,16.6,8.73,3.27,2.5,68.6,,2008/2009
Resovia Rzeszów,32.0,61.1,16.2,36.0,44.9,5.4,20.3,26.6,21.6,56.3,38.3,12.6,20.3,61.9,8.91,17.28,26.19,11.3,20.09,20.63,15.2,11.13,1.91,1.78,54.0,,2008/2009
AZS PWSZ Kalisz,34.0,64.4,16.5,35.1,47.0,6.9,21.9,31.3,23.4,57.0,40.9,10.9,15.6,69.7,6.44,20.79,27.24,11.4,19.85,18.53,12.6,9.38,2.03,2.29,63.5,,2008/2009
Żubry Białystok,33.0,73.1,18.2,36.2,50.4,7.0,23.0,30.3,25.2,59.2,42.6,15.7,22.6,69.5,9.58,21.21,30.79,12.0,19.88,21.18,15.4,9.15,3.97,2.67,72.8,,2008/2009
ŁKS Łódź,35.0,78.5,21.8,41.5,52.4,6.1,18.1,34.0,27.9,59.6,46.9,16.5,23.2,71.2,9.8,25.14,34.94,14.0,22.66,20.54,14.6,8.26,1.51,2.91,84.2,,2008/2009
KS AZS AWF Katowice,34.0,69.1,17.2,36.1,47.5,7.7,23.7,32.7,24.9,59.8,41.6,11.6,17.6,65.6,8.97,17.21,26.18,11.2,19.47,18.29,13.1,10.03,2.26,2.71,64.7,,2008/2009
Znicz Basket Pruszków,35.0,74.4,20.0,38.8,51.6,6.4,19.9,32.2,26.5,58.7,45.0,15.1,20.8,72.6,8.91,21.37,30.29,11.5,23.34,21.11,15.5,8.94,2.2,2.34,73.9,,2008/2009
Miasto Szkła Krosno,35.0,75.8,21.7,41.3,52.5,6.2,19.8,31.1,27.8,61.1,45.5,14.0,19.4,72.0,8.8,22.69,31.49,14.3,22.2,18.83,13.3,10.57,2.11,2.69,82.3,,2008/2009
KS Sudety Jelenia Góra,33.0,71.9,20.3,38.2,53.3,5.5,16.5,33.2,25.8,54.7,47.2,14.8,20.3,72.8,8.0,22.27,30.27,12.6,20.45,19.94,13.8,8.67,2.3,1.36,77.6,,2008/2009
MKS Dąbrowa Górnicza,30.0,72.5,19.4,38.4,50.5,6.6,19.0,34.6,26.0,57.4,45.2,14.0,20.4,68.9,8.3,22.13,30.43,13.1,20.1,20.03,15.9,9.67,3.33,2.57,75.4,,2008/2009
Polonia 2011 Warszawa,39.0,83.6,22.0,42.3,52.1,8.1,24.6,32.8,30.1,66.9,45.0,15.4,21.2,72.4,12.56,25.23,37.79,15.9,22.69,20.51,17.4,11.62,3.56,2.1,92.4,,2008/2009
Siarka Tarnobrzeg,33.0,74.5,18.9,38.5,48.9,6.6,20.4,32.4,25.5,58.9,43.2,17.0,25.2,67.6,11.33,21.58,32.91,14.6,22.61,23.7,15.9,11.52,3.3,2.58,79.3,,2008/2009
Stal Stalowa Wola,42.0,73.5,19.4,38.1,50.9,6.9,20.6,33.3,26.3,58.8,44.7,14.1,20.2,69.8,9.67,22.88,32.55,12.5,18.67,20.86,14.1,9.86,3.1,2.29,78.7,,2008/2009
Zastal Intermarche Zielona Góra,36.0,75.0,18.7,35.8,52.2,8.1,21.9,37.1,26.8,57.7,46.5,13.3,20.5,64.7,9.39,23.92,33.31,14.4,21.25,20.97,14.2,10.42,1.81,2.89,82.6,,2008/2009
PTG Sokół Łańcut,38.0,77.3,20.6,39.6,52.0,7.1,20.9,33.8,27.7,60.5,45.7,14.9,20.1,74.2,10.08,21.34,31.42,15.3,18.97,17.92,12.5,11.0,2.13,1.45,86.6,,2007/2008
Żubry Białystok,30.0,75.0,19.2,38.8,49.4,7.5,23.3,32.1,26.7,62.1,42.9,14.2,23.7,59.9,11.17,20.93,32.1,14.1,20.57,20.1,12.6,8.7,2.7,2.2,75.1,,2007/2008
PBG Basket Poznań,35.0,80.9,22.0,40.8,54.0,6.9,20.4,33.7,28.9,61.2,47.2,16.2,23.5,68.8,11.0,25.91,36.91,15.4,22.03,20.29,16.1,8.54,2.37,1.74,88.4,,2007/2008
Resovia Rzeszów,34.0,73.5,18.8,36.1,52.0,6.7,21.3,31.3,25.5,57.4,44.3,15.9,22.5,70.4,9.91,22.09,32.0,16.2,20.68,21.12,16.0,10.76,3.24,1.53,81.0,,2007/2008
MKKS Rybnik,30.0,77.7,19.5,37.3,52.4,8.4,24.4,34.5,27.9,61.6,45.3,13.4,19.7,68.2,6.93,19.27,26.2,14.9,23.33,18.97,12.6,11.47,1.13,2.0,78.8,,2007/2008
Tarnovia Tarnowo Podgórne,35.0,71.3,18.4,40.4,45.6,7.4,21.9,33.6,25.8,62.3,41.4,12.3,18.5,66.5,9.86,19.74,29.6,10.1,21.49,14.66,13.6,8.09,2.26,2.66,65.0,,2007/2008
MKS Start AZS Lublin,35.0,67.9,18.9,40.2,47.1,5.5,19.2,28.7,24.4,59.4,41.1,13.6,20.7,65.5,10.37,22.43,32.8,11.5,24.17,18.83,19.3,9.03,2.11,3.17,62.0,,2007/2008
GKS Tychy,34.0,74.3,20.8,39.0,53.4,6.5,19.7,33.1,27.3,58.6,46.6,13.2,18.4,71.8,9.53,22.09,31.62,12.4,17.88,17.5,13.5,8.47,3.56,1.56,80.3,,2007/2008
Asseco Prokom 2 Gdynia,30.0,71.3,18.9,36.8,51.2,7.5,24.7,30.3,26.4,61.6,42.8,11.1,17.2,64.2,9.3,22.63,31.93,11.0,22.73,17.17,18.1,10.1,4.0,2.4,68.8,,2007/2008
Znicz Basket Pruszków,35.0,76.4,18.3,36.1,50.8,8.0,23.1,34.8,26.4,59.2,44.5,15.7,21.5,72.7,7.89,22.43,30.31,12.8,22.51,20.11,15.7,9.43,2.29,1.97,76.8,,2007/2008
Polonia 2011 Warszawa,30.0,76.9,20.1,41.0,49.1,7.1,22.7,31.4,27.2,63.7,42.8,15.3,23.4,65.5,12.2,22.17,34.37,13.7,22.83,18.87,16.4,11.03,2.9,2.33,78.0,,2007/2008
Siarka Tarnobrzeg,35.0,76.4,19.0,37.9,50.1,7.1,22.7,31.3,26.1,60.6,43.1,17.1,25.3,67.6,10.74,20.06,30.8,12.4,21.77,21.97,13.3,10.23,2.37,2.14,76.2,,2007/2008
Sportino Inowrocław,40.0,70.8,16.5,34.3,48.0,7.9,22.6,35.0,24.4,56.9,42.8,14.2,21.1,67.2,9.85,22.13,31.98,13.9,20.4,18.3,12.4,10.98,2.08,2.25,77.9,,2007/2008
Stal Stalowa Wola,39.0,75.9,18.2,35.5,51.3,8.0,23.4,34.0,26.2,58.9,44.4,15.6,21.5,72.9,7.36,21.18,28.54,14.1,20.79,20.67,12.4,8.69,2.85,2.33,79.2,,2007/2008
Wiecko Zastal Zielona Góra,34.0,74.4,18.1,34.4,52.7,8.1,23.2,35.0,26.2,57.6,45.6,13.9,19.4,71.3,10.15,24.24,34.38,13.3,22.0,18.91,12.4,8.79,3.26,1.82,84.9,,2007/2008
Znicz Jarosław,42.0,81.6,21.7,38.6,56.1,7.6,20.1,37.6,29.2,58.8,49.8,15.6,20.3,76.6,8.76,23.55,32.31,16.2,18.71,18.29,13.7,8.29,2.43,1.83,92.9,,2007/2008
PTG Sokół Łańcut,26.0,73.1,18.8,38.4,49.0,6.6,20.2,32.5,25.4,58.6,43.3,15.8,21.5,73.3,9.19,20.81,30.0,15.5,21.31,,14.1,10.85,2.5,,78.9,,2006/2007
Tarnovia Tarnowo Podgórne,28.0,75.8,19.5,37.0,52.7,7.9,22.3,35.5,27.4,59.3,46.2,13.0,17.6,74.0,8.46,19.61,28.07,9.5,24.0,,12.5,7.68,1.18,,73.3,,2006/2007
PBG Basket Poznań,31.0,78.3,22.1,44.9,49.1,6.4,19.5,32.7,28.4,64.4,44.1,15.1,20.1,75.4,11.23,22.16,33.39,13.8,22.13,,15.0,9.32,1.97,,80.9,,2006/2007
Resovia Rzeszów,29.0,77.7,20.2,39.3,51.3,6.1,17.6,34.7,26.3,56.9,46.2,19.0,26.7,71.4,6.41,19.76,26.17,12.9,21.48,,15.4,10.66,3.14,,76.9,,2006/2007
Sportowiec Częstochowa,27.0,80.9,22.9,46.0,49.8,5.9,17.9,33.0,28.8,63.9,45.1,17.4,23.0,75.4,11.59,22.11,33.7,15.4,21.41,,14.5,11.81,1.85,,88.4,,2006/2007
MKS Start AZS Lublin,25.0,76.6,20.2,37.2,54.4,6.2,21.4,29.0,26.4,58.5,45.1,17.6,25.1,70.1,9.52,24.92,34.44,13.9,21.52,,17.2,9.44,1.84,,79.4,,2006/2007
Znicz Basket Pruszków,31.0,80.1,19.7,36.7,53.6,6.9,22.3,31.1,26.6,59.0,45.1,20.0,27.0,73.9,8.23,21.1,29.32,14.6,24.61,,16.7,9.97,2.29,,80.1,,2006/2007
Basket Kwidzyn,37.0,81.1,23.4,43.0,54.5,5.7,17.6,32.1,29.1,60.6,48.0,17.3,22.8,76.1,8.54,21.78,30.32,14.4,23.27,,12.2,10.16,2.22,,89.0,,2006/2007
Górnik Wałbrzych,37.0,78.4,21.2,38.2,55.5,5.9,17.1,34.2,27.1,55.3,48.9,18.4,24.2,76.0,9.0,23.92,32.92,14.5,22.22,,17.4,10.51,2.41,,87.2,,2006/2007
Grono Zielona Góra,33.0,70.2,15.5,31.7,48.9,8.3,23.3,35.6,23.8,55.0,43.3,14.3,19.9,72.1,8.21,21.85,30.06,12.6,22.82,,13.3,10.45,2.27,,75.6,,2006/2007
Siarka Tarnobrzeg,30.0,79.3,20.0,37.9,52.8,7.7,21.8,35.2,27.7,59.7,46.4,16.3,22.5,72.3,9.2,19.8,29.0,14.5,21.33,,15.0,11.7,2.47,,83.8,,2006/2007
Sportino Inowrocław,35.0,77.8,20.1,37.1,54.1,7.5,22.7,32.9,27.5,59.7,46.1,15.3,21.3,71.9,9.23,21.94,31.17,13.5,23.23,,13.7,11.31,2.91,,84.9,,2006/2007
Spójnia Stargard Szcz.,31.0,68.8,17.1,33.7,50.6,7.2,22.3,32.3,24.3,56.0,43.3,13.1,18.9,69.0,6.9,19.87,26.77,11.6,21.48,,13.5,8.19,2.48,,66.8,,2006/2007
Stal Stalowa Wola,30.0,77.4,21.0,38.7,54.3,6.5,19.7,33.1,27.5,58.4,47.1,15.9,23.0,69.0,8.5,22.57,31.07,14.4,20.77,,15.1,8.87,3.3,,81.9,,2006/2007
CZELADZKI KLUB SPORTOWY 1924 (CKS) Czeladź,37.0,83.3,22.3,39.5,56.5,7.3,20.8,35.2,29.6,60.2,49.2,16.8,21.4,78.5,8.27,20.78,29.05,15.5,22.22,,16.5,10.35,1.57,,88.1,,2005/2006
KS Legion Legionowo,33.0,76.2,19.1,36.4,52.4,7.1,23.6,30.0,26.2,60.0,43.6,16.9,24.8,68.1,10.97,21.06,32.03,13.6,22.94,,17.9,11.67,1.7,,75.6,,2005/2006
PBG Basket Poznań,37.0,81.5,22.5,44.4,50.8,5.8,18.9,30.7,28.3,63.2,44.8,19.2,25.8,74.4,10.62,20.43,31.05,10.4,23.38,,15.1,12.7,1.73,,80.7,,2005/2006
Sportowiec Częstochowa,33.0,82.1,23.8,45.2,52.6,6.5,18.5,35.1,30.3,63.7,47.5,15.0,20.3,74.0,10.09,23.52,33.61,17.3,21.55,,15.4,9.67,3.88,,92.4,,2005/2006
Znicz Basket Pruszków,32.0,78.3,19.6,38.3,51.2,8.0,22.7,35.4,27.6,61.0,45.3,15.0,20.5,73.1,9.97,22.03,32.0,12.8,25.31,,18.6,11.0,2.0,,78.6,,2005/2006
AZS Politechnika Radomska,37.0,71.2,19.9,42.9,46.3,5.4,15.4,35.1,25.3,58.2,43.4,15.3,21.7,70.7,8.22,21.41,29.62,9.3,21.35,,15.1,9.65,0.95,,66.3,,2005/2006
PTG Sokół Łańcut,34.0,76.8,20.4,40.7,50.1,6.6,20.2,32.6,27.0,60.9,44.3,16.3,21.8,74.6,9.53,20.74,30.26,14.3,20.91,,13.2,12.38,2.26,,83.4,,2005/2006
KS AZS AWF Katowice,37.0,77.7,21.8,43.9,49.8,6.8,20.2,33.8,28.7,64.0,44.7,13.6,19.8,68.5,10.65,19.24,29.89,12.4,23.84,,16.9,10.65,2.59,,74.8,,2005/2006
Basket Kwidzyn,34.0,75.5,21.3,40.0,53.2,6.6,19.8,33.2,27.9,59.8,46.6,13.3,19.1,69.6,9.15,21.59,30.74,13.3,21.71,,11.0,8.53,2.56,,81.9,,2005/2006
Górnik Wałbrzych,33.0,76.3,22.2,42.3,52.4,5.9,17.5,33.6,28.1,59.9,46.9,14.3,20.2,70.8,10.58,22.06,32.64,15.7,23.0,,16.5,11.45,2.58,,84.4,,2005/2006
Grono Zielona Góra,40.0,69.4,17.5,36.6,47.8,7.1,23.9,29.7,24.6,60.5,40.7,13.1,19.8,66.1,10.03,21.05,31.08,11.6,22.88,,12.5,9.58,2.65,,69.2,,2005/2006
Siarka Tarnobrzeg,36.0,74.3,18.8,38.6,48.7,7.1,21.6,33.1,25.9,60.2,43.1,15.3,21.0,72.8,9.61,20.19,29.81,12.2,21.53,,16.3,11.39,2.08,,73.6,,2005/2006
Sokołów Znicz Jarosław,39.0,86.0,22.8,39.3,58.0,7.5,19.6,38.2,30.3,59.0,51.4,17.9,23.0,77.5,9.31,23.77,33.08,15.0,20.23,,16.6,9.38,2.33,,95.3,,2005/2006
Spójnia Stargard Szcz.,34.0,78.2,20.9,37.6,55.6,7.8,21.2,36.8,28.7,58.8,48.8,12.9,18.6,69.0,8.0,21.21,29.21,14.6,20.38,,14.7,7.91,2.82,,82.2,,2005/2006
Stal Stalowa Wola,35.0,79.4,20.0,35.5,56.3,7.6,24.3,31.3,27.6,59.8,46.2,16.6,24.3,68.2,7.34,23.71,31.06,13.7,21.26,,14.6,8.57,3.46,,81.7,,2005/2006
Viking Gdynia,41.0,78.3,19.8,36.8,53.9,7.5,21.7,34.3,27.3,58.5,46.7,16.2,20.5,79.1,7.17,21.66,28.83,12.2,21.1,,13.1,7.2,3.15,,81.1,,2005/2006
