Przeciwnicy,35,73.4,20.9,41.9,50.0,6.3,21.9,28.9,27.3,63.8,42.7,12.5,18.8,66.6,10.74,24.80,35.54,13.3,20.83,18.77,13.1,10.69,2.60,2.06,79.7,,Sezon 2010/2011,MKS Start Lublin
Znicz Basket Pruszków,29,72.7,20.7,41.6,49.7,5.7,18.6,30.9,26.4,60.1,43.9,14.2,20.5,69.2,9.00,22.62,31.62,15.1,21.55,21.52,15.6,10.83,2.93,2.93,77.5,,Sezon 2010/2011,MKS Znicz Basket Pruszków
Przeciwnicy,29,72.4,20.0,40.9,48.8,5.7,19.0,29.8,25.6,59.9,42.8,15.5,22.6,68.6,9.76,24.10,33.86,13.2,21.62,21.62,16.1,10.45,3.10,2.86,75.5,,Sezon 2010/2011,MKS Znicz Basket Pruszków
Polonia 2011 Warszawa,35,69.5,17.7,39.1,45.3,6.8,21.4,31.8,24.5,60.5,40.5,13.7,19.2,71.0,7.49,20.06,27.54,12.1,21.11,19.03,17.5,11.11,2.26,3.17,63.5,,Sezon 2010/2011,Polonia 2011 Warszawa
Przeciwnicy,35,79.6,22.9,42.1,54.5,6.6,20.0,33.0,29.5,62.1,47.6,13.9,20.6,67.3,11.40,26.51,37.91,16.8,19.31,20.97,17.9,11.17,3.14,2.26,91.4,,Sezon 2010/2011,Polonia 2011 Warszawa
PTG Sokół Łańcut,38,71.8,17.5,35.3,49.5,6.4,23.1,27.7,23.9,58.4,40.9,17.7,24.4,72.6,10.95,22.29,33.24,11.8,20.89,23.34,13.4,12.29,2.29,2.37,76.8,,Sezon 2010/2011,PTG Sokół Łańcut
Przeciwnicy,38,65.8,16.2,33.4,48.7,6.7,21.6,31.2,23.0,55.0,41.8,13.1,19.8,66.2,8.95,22.00,30.95,13.8,23.63,20.63,16.9,9.03,2.37,2.29,66.3,,Sezon 2010/2011,PTG Sokół Łańcut
HydroTruck Sport Radom,31,71.7,20.2,40.2,50.3,5.3,17.2,31.0,25.6,57.4,44.5,15.3,21.2,72.1,9.10,26.06,35.16,12.5,19.77,20.26,14.6,8.39,2.45,1.71,77.8,,Sezon 2010/2011,Rosa Radom
Przeciwnicy,31,67.4,16.0,35.8,44.8,7.7,25.9,29.5,23.7,61.7,38.4,12.4,18.5,67.0,9.23,21.03,30.26,13.7,20.29,19.77,12.3,10.03,1.90,2.16,66.8,,Sezon 2010/2011,Rosa Radom
SKK Siedlce,35,67.4,17.6,37.2,47.3,7.2,22.9,31.5,24.8,60.2,41.3,10.5,17.1,61.5,10.83,24.43,35.26,15.6,20.63,18.74,16.7,8.91,2.77,2.11,71.3,,Sezon 2010/2011,SKK Siedlce
Przeciwnicy,35,70.3,18.1,39.6,45.8,6.1,21.9,28.1,24.3,61.5,39.5,15.6,20.8,75.0,10.31,22.86,33.17,12.7,19.17,20.09,13.3,11.69,2.14,2.71,74.3,,Sezon 2010/2011,SKK Siedlce
POLOmarket Sportino Inowrocław,33,73.5,19.0,38.1,49.8,7.1,22.2,31.9,26.1,60.3,43.2,14.3,21.4,66.8,10.55,23.64,34.18,12.8,21.12,21.18,13.8,10.58,2.85,2.64,78.7,,Sezon 2010/2011,Sportino Inowrocław
Przeciwnicy,33,70.2,19.2,40.7,47.2,6.4,21.1,30.5,25.6,61.7,41.5,12.6,19.0,66.5,10.45,22.85,33.30,14.2,21.42,20.85,14.8,9.79,2.67,2.82,72.9,,Sezon 2010/2011,Sportino Inowrocław
Victoria Górnik Wałbrzych,26,66.5,18.7,40.9,45.7,5.5,20.7,26.6,24.2,61.5,39.3,12.6,17.8,70.8,9.12,22.73,31.85,13.0,20.38,19.38,15.5,13.38,2.58,3.23,69.3,,Sezon 2010/2011,Victoria Górnik Wałbrzych
Przeciwnicy,26,78.9,22.4,41.3,54.3,6.5,20.5,31.6,28.9,61.8,46.8,14.5,21.0,68.9,10.96,27.08,38.04,15.7,19.50,20.19,16.5,12.12,3.27,2.58,92.0,,Sezon 2010/2011,Victoria Górnik Wałbrzych
KS AZS AWF Katowice,32,71.9,18.4,36.2,50.7,7.1,21.1,33.4,25.4,57.3,44.4,13.9,21.3,65.4,6.75,19.91,26.66,13.0,20.63,21.13,15.3,9.63,2.63,2.56,69.1,,Sezon 2009/2010,KS AZS AWF Katowice
Przeciwnicy,32,79.4,21.9,40.2,54.6,7.5,21.5,35.1,29.5,61.6,47.8,12.9,19.0,67.8,10.22,24.13,34.34,15.4,21.28,20.31,15.0,9.94,2.59,2.59,88.3,,Sezon 2009/2010,KS AZS AWF Katowice
